carrros,gear,mpg,cyl
Mazda RX4,4,21,6
Mazda RX4 Wag,4,21,6
Datsun 710,4,22.8,4
Hornet 4 Drive,3,21.4,6
Hornet Sportabout,3,18.7,8
Valiant,3,18.1,6
Duster 360,3,14.3,8
Merc 240D,4,24.4,4
Merc 230,4,22.8,4
Merc 280,4,19.2,6
Merc 280C,4,17.8,6
Merc 450SE,3,16.4,8
Merc 450SL,3,17.3,8
Merc 450SLC,3,15.2,8
Cadillac Fleetwood,3,10.4,8
Lincoln Continental,3,10.4,8
Chrysler Imperial,3,14.7,8
Fiat 128,4,32.4,4
Honda Civic,4,30.4,4
Toyota Corolla,4,33.9,4
Toyota Corona,3,21.5,4
Dodge Challenger,3,15.5,8
AMC Javelin,3,15.2,8
Camaro Z28,3,13.3,8
Pontiac Firebird,3,19.2,8
Fiat X1-9,4,27.3,4
Porsche 914-2,5,26,4
Lotus Europa,5,30.4,4
Ford Pantera L,5,15.8,8
Ferrari Dino,5,19.7,6
Maserati Bora,5,15,8
Volvo 142E,4,21.4,4